Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover
ACLBSL,756.70,-1.59,770.00,756.00,768.00,"1,107","843,058.50"
ADBL,229.40,-1.55,235.00,229.00,234.00,"20,603","4,769,306.50"
ADBLD83,"1,101.00",1.94,"1,101.00","1,085.00","1,085.00","1,150","1,263,419.90"
AHL,436.00,-3.11,458.00,436.00,450.00,"11,391","5,001,583.00"
AHPC,166.50,0,170.00,163.30,169.00,"32,967","5,469,305.50"
AKJCL,211.50,-0.24,215.00,209.00,214.80,"12,662","2,678,959.20"
AKPL,167.00,0.06,170.00,167.00,169.40,"45,948","7,718,543.90"
ALBSL,717.90,0.81,717.90,703.00,712.00,"5,023","3,554,946.20"
ALICL,553.00,0,555.60,545.80,550.00,"8,398","4,621,030.50"
ANLB,"1,933.00",-1.64,"2,004.00","1,933.00","2,004.00",152,"295,480.00"
API,170.80,-2.23,177.00,170.10,177.00,"43,640","7,510,542.60"
AVYAN,681.00,-2.85,712.00,680.10,687.00,"6,133","4,276,455.00"
BARUN,234.00,-2.42,238.90,232.50,235.70,"5,725","1,349,712.50"
BBC,"3,785.00",0.66,"3,785.00","3,785.00","3,785.00",10,"37,850.00"
BEDC,365.00,-2.12,379.90,363.00,379.90,"18,736","6,946,110.20"
BFC,343.00,-3.08,360.00,343.00,360.00,"14,614","5,082,480.20"
BGWT,585.00,-1.02,621.90,580.10,600.00,"4,594","2,706,738.00"
BHDC,479.90,2.89,490.00,460.50,460.50,"3,355","1,588,672.00"
BHL,336.00,-1.18,343.00,327.10,333.20,"3,390","1,141,456.00"
BHPL,470.00,-3.91,497.50,470.00,497.50,"2,650","1,261,820.00"
BNHC,455.00,-2.74,475.00,454.00,475.00,"2,490","1,145,504.00"
BNL,"15,484.10",-0.55,"15,881.40","15,484.10","15,881.40",30,"471,655.00"
BNT,"12,645.00",1.24,"12,739.00","12,500.00","12,698.00",100,"1,267,090.00"
BPCL,294.00,0,299.80,294.00,299.80,"5,154","1,520,722.90"
CBBL,822.00,-0.84,843.00,816.00,843.00,"4,257","3,501,813.10"
CBLD88,"1,020.00",-1.45,"1,020.00","1,020.00","1,020.00",25,"25,500.00"
CCBD88,"1,049.50",1.99,"1,049.50","1,031.10","1,031.10",60,"62,495.00"
CFCL,363.50,-1.36,375.00,362.00,362.20,"18,362","6,695,959.30"
CGH,788.00,0.9,790.00,777.00,781.00,"4,728","3,711,890.30"
CHCL,438.00,-0.45,444.00,438.00,440.50,"24,120","10,610,728.70"
CHDC,777.10,-2.62,795.00,770.00,795.00,"5,932","4,640,182.20"
CHL,320.00,1.27,321.00,309.00,310.00,"83,767","26,395,918.70"
CIT,"2,101.00",0.14,"2,113.00","2,080.00","2,080.00","4,081","8,590,141.70"
CITY,586.90,-0.69,590.00,581.00,582.10,"2,041","1,191,886.50"
CKHL,522.00,-2.25,534.00,520.00,530.00,"3,524","1,847,625.40"
CLI,435.00,-0.91,446.00,431.70,436.10,"48,596","21,310,724.90"
CMF1,8.80,1.73,8.80,8.80,8.80,100,880.00
CMF2,7.80,0,7.95,7.80,7.80,"5,700","45,210.00"
CORBL,425.90,-0.95,438.60,405.00,438.60,"8,508","3,542,161.40"
CYCL,"1,600.00",-2.74,"1,612.10","1,516.10","1,612.10","7,970","12,433,989.40"
CZBIL,155.90,-0.57,158.80,154.20,158.80,"11,252","1,748,999.20"
DDBL,680.00,-1.31,690.00,680.00,685.00,"4,810","3,296,717.80"
DHPL,199.00,-1.49,205.00,198.50,202.00,"13,039","2,618,613.70"
DLBS,"1,130.00",-1.48,"1,165.00","1,108.00","1,145.00","3,232","3,649,965.10"
DOLTI,451.10,-7.37,486.80,451.10,477.30,"73,072","33,731,950.20"
DORDI,413.00,-2.13,430.00,407.70,430.00,"8,162","3,372,901.20"
EBL,504.90,-0.22,509.80,503.00,504.10,"16,174","8,172,307.50"
EBLD85,"1,091.40",2,"1,091.40","1,070.00","1,080.00",150,"162,562.50"
EDBL,358.80,1.64,358.80,347.10,351.00,"9,519","3,324,636.80"
EHPL,456.00,2.47,465.00,436.00,453.60,"26,575","12,088,723.30"
ENL,798.00,-0.7,805.00,787.00,803.00,"1,720","1,367,926.50"
FMDBL,604.50,-1.55,614.00,604.00,611.00,"18,278","11,113,194.40"
FOWAD,"1,100.00",-1.26,"1,119.00","1,090.00","1,119.00","1,581","1,740,352.00"
GBBD85,994.00,0,994.00,992.90,992.90,85,"84,443.00"
GBBL,360.00,-0.53,362.10,357.50,360.50,"8,257","2,966,990.10"
GBILD86/87,987.00,0.71,"1,000.00",987.00,999.60,"1,050","1,047,390.00"
